Directory,Filename,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Flickr/2014,tiburon_14932715710_o.jpg,2014:09:01 18:31:44,37.8750169444444,-122.454837222222
/Users/eddiedickey/Flickr/2014,football_15420128040_o.jpg,,,
/Users/eddiedickey/Flickr/2014,rodin-the-thinker_15135100603_o.jpg,2014:11:09 15:17:50,37.7846975,-122.500019166667
/Users/eddiedickey/Flickr/2014,football_15419610328_o.jpg,,,
/Users/eddiedickey/Flickr/2014,tiburon-ferry_14502109529_o.jpg,2014:06:08 14:43:19,37.8729461111111,-122.4557025
/Users/eddiedickey/Flickr/2014,directions_14134097839_o.jpg,2014:05:25 17:17:03,37.8489638888889,-122.545958333333
/Users/eddiedickey/Flickr/2014,christmas-into-the-new-year_15524956684_o.jpg,2014:12:28 17:54:17,,
/Users/eddiedickey/Flickr/2014,thanksgiving_15488350153.mp4,2014:11:27 02:00:52,,
/Users/eddiedickey/Flickr/2014,philz-sausalito_14320123154_o.jpg,2014:05:11 14:53:39,37.8734113888889,-122.491180277778
/Users/eddiedickey/Flickr/2014,football_15018253014_o.jpg,,,
/Users/eddiedickey/Flickr/2014,view-while-recovering_14636589784_o.jpg,2014:07:09 13:20:50,37.9519513888889,-122.542294722222
/Users/eddiedickey/Flickr/2014,september-snow_15373631035_o.jpg,2014:09:27 12:38:07,38.9468225,-119.959464444444
/Users/eddiedickey/Flickr/2014,meditation-point_15239164969_o.jpg,2014:09:30 15:46:25,37.9433508333333,-122.511773055556
/Users/eddiedickey/Flickr/2014,diwali_15727733112_o.jpg,2014:11:06 10:34:36,37.9439633333333,-122.512383055556
/Users/eddiedickey/Flickr/2014,a-break-between-storms_15666985340_o.jpg,2014:11:22 13:00:03,38.1216077777778,-122.267970555556
/Users/eddiedickey/Flickr/2014,football_15615279656_o.jpg,,,
/Users/eddiedickey/Flickr/2014,emerald-bay_15199569929_o.jpg,2014:09:27 13:20:33,38.9577769444444,-120.081127777778
/Users/eddiedickey/Flickr/2014,football_15453417000_o.jpg,,,
