SourceFile,CreateDate
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0153.mov,2014:10:20 00:06:03
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0190.mov,2014:10:20 00:06:29
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0184.mov,2014:10:19 23:58:11
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0192.mov,2014:10:20 00:02:11
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0186.mov,2014:10:20 00:02:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0179.mov,2014:10:20 00:02:16
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0151.mov,2014:10:20 00:02:44
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0150.mov,2014:10:20 00:00:39
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0178.mov,2014:10:19 23:59:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0187.mov,2014:10:20 00:04:38
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0193.mov,2014:10:20 00:04:11
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0197.mov,2014:10:20 00:01:17
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0183.mov,2014:10:20 00:06:08
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0154.mov,2014:10:19 23:58:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0168.mov,2014:10:20 00:03:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0169.mov,2014:10:20 00:05:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0155.mov,2014:10:20 00:01:00
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0182.mov,2014:10:20 00:05:08
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0196.mov,2014:10:19 23:58:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0180.mov,2014:10:20 00:00:26
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0194.mov,2014:10:20 00:05:28
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0157.mov,2014:10:20 00:04:44
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0156.mov,2014:10:20 00:02:39
