SourceFile,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0311.MOV,2010:11:24 17:10:03,37.7975,-122.3992
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0136.MOV,2010:10:06 19:06:58,37.8029,-122.4019
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0123.MOV,2010:10:03 19:24:27,37.7948,-122.3929
/Users/eddiedickey/Feb2020/Movie-files/Movies/The Birds 2.mov,2007:01:05 03:38:57,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0876.MOV,2011:03:24 20:29:26,33.4454,-111.9486
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_1003.MOV,2011:05:08 00:55:56,38.0368,-122.5439
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_1015.MOV,2011:05:12 02:55:43,38.0226,-122.5505
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0121.MOV,2010:10:03 17:24:14,37.7998,-122.457
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0120.MOV,2010:10:03 17:16:21,37.805,-122.449
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/Exports/Stompers.m4v,2009:12:17 21:39:05,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/For Alex.rcproject/QuickLook/Thumbnail.jpg,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/Stompers.rcproject/QuickLook/Thumbnail.jpg,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/Stompers.rcproject/Movies/mobile.m4v,2009:12:17 22:17:04,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/Stompers.rcproject/Movies/large.m4v,2009:12:17 21:39:05,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/iMovie Cache/Cache.mov,2010:05:29 22:36:18,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/clip-135-02-05 05;27;15.dv,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 22:36:18,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/clip-2009-10-01 18;47;25.mov,2009:10:15 06:54:29,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/iMovie Cache/Cache.mov,2010:05:29 21:20:40,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 21:20:43,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;27;23.mov,2009:10:15 07:19:46,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;25;20.mov,2009:10:15 07:16:19,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/iMovie Cache/Cache.mov,2010:05:29 21:20:48,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;29;22.mov,2009:10:15 07:20:38,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;24;39.mov,2009:10:15 07:15:12,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;26;22.mov,2009:10:15 07:17:25,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 21:20:49,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;18;52.mov,2009:10:15 07:10:49,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;21;10.mov,2009:10:15 07:14:41,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/clip-2009-10-04 12;30;23.mov,2009:10:15 07:27:04,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 21;03;14.mov,2009:12:18 16:10:30,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/iMovie Cache/Cache.mov,2010:05:29 21:20:46,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 21;07;39.mov,2009:12:18 16:12:07,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 20;25;13.mov,2009:12:18 16:02:10,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 20;54;01.mov,2009:12:18 16:07:16,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 20;25;33.mov,2009:12:18 16:04:40,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 21:20:46,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 20;58;53.mov,2009:12:18 16:08:19,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 20;36;12.mov,2009:12:18 16:05:58,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 21;00;48.mov,2009:12:18 16:10:25,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/clip-2009-12-17 20;24;01.mov,2009:12:18 16:02:07,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;29;05.mov,2009:10:21 05:27:47,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;37;12.mov,2009:10:21 05:32:38,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/iMovie Cache/Cache.mov,2010:05:29 21:20:44,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;22;52.mov,2009:10:21 05:23:50,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;40;12.mov,2009:10:21 05:34:18,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 10;36;14.mov,2009:10:21 05:13:41,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;34;33.mov,2009:10:21 05:32:14,,
