SourceFile,DateCreated,DateTimeCreated,DateTimeOriginal,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSCoordinates-und-US,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSProcessingMethod,GPSSpeed,GPSSpeedRef,GPSTimeStamp
/Users/eddiedickey/Flickr/2018/25754624438_7983d5238f_o.jpg,,,2018:01:01 12:51:52,260 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 20:51:51.5Z,,,165 m,,,"34 deg 9' 52.04"" N",North,"118 deg 10' 1.42"" W",West,"34 deg 9' 52.04"" N, 118 deg 10' 1.42"" W",,0,km/h,20:51:51.5
/Users/eddiedickey/Flickr/2018/39596569032_c4f2be9e59_o.jpg,,,2018:01:01 11:16:36,245.5 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 19:16:36Z,16.87570168,True North,5 m,16.87570168,True North,"34 deg 9' 23.38"" N",North,"118 deg 10' 2.13"" W",West,"34 deg 9' 23.38"" N, 118 deg 10' 2.13"" W",,0,km/h,19:16:36
/Users/eddiedickey/Flickr/2011/retrospective_15192630801_o.jpg,,,2011:01:27 19:18:50,,,,,,,,,,111.8350168,True North,"38 deg 1' 19.80"" N",North,"122 deg 33' 0.00"" W",West,"38 deg 1' 19.80"" N, 122 deg 33' 0.00"" W",,,,03:18:49.64
/Users/eddiedickey/Flickr/2011/siblings_15008966410_o.jpg,,,2011:02:04 15:19:35,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2011/golden-gate_15195395832_o.jpg,,,2011:12:05 00:37:52,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2011/north-beach_15195220142_o.jpg,,,2011:01:28 11:48:41,,,,,,,,,,205.3137517,True North,"37 deg 48' 5.40"" N",North,"122 deg 24' 21.00"" W",West,"37 deg 48' 5.40"" N, 122 deg 24' 21.00"" W",,,,19:48:39.91
/Users/eddiedickey/Flickr/2016/video_29499389122.mov,,,,21.628 m,Above Sea Level,"37 deg 51' 23.04"" N, 122 deg 28' 50.16"" W, 21.628 m Above Sea Level",,,,,,,,,"37 deg 51' 23.04"" N",,"122 deg 28' 50.16"" W",,"37 deg 51' 23.04"" N, 122 deg 28' 50.16"" W",,,,
/Users/eddiedickey/Flickr/2016/video_26839478214.mov,,,,4.26 m,Above Sea Level,"19 deg 47' 32.28"" N, 156 deg 1' 39.72"" W, 4.26 m Above Sea Level",,,,,,,,,"19 deg 47' 32.28"" N",,"156 deg 1' 39.72"" W",,"19 deg 47' 32.28"" N, 156 deg 1' 39.72"" W",,,,
/Users/eddiedickey/Flickr/2016/video_25724545180.mov,,,,43.068 m,Above Sea Level,"37 deg 54' 31.32"" N, 122 deg 32' 57.48"" W, 43.068 m Above Sea Level",,,,,,,,,"37 deg 54' 31.32"" N",,"122 deg 32' 57.48"" W",,"37 deg 54' 31.32"" N, 122 deg 32' 57.48"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27260170470.mov,,,,7.335 m,Above Sea Level,"19 deg 33' 58.68"" N, 155 deg 58' 1.20"" W, 7.335 m Above Sea Level",,,,,,,,,"19 deg 33' 58.68"" N",,"155 deg 58' 1.20"" W",,"19 deg 33' 58.68"" N, 155 deg 58' 1.20"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27463729250.mov,,,,7.089 m,Above Sea Level,"19 deg 35' 44.88"" N, 155 deg 58' 23.16"" W, 7.089 m Above Sea Level",,,,,,,,,"19 deg 35' 44.88"" N",,"155 deg 58' 23.16"" W",,"19 deg 35' 44.88"" N, 155 deg 58' 23.16"" W",,,,
/Users/eddiedickey/Flickr/2016/video_34580266626.mov,,,,25.072 m,Above Sea Level,"37 deg 54' 24.84"" N, 122 deg 32' 48.48"" W, 25.072 m Above Sea Level",,,,,,,,,"37 deg 54' 24.84"" N",,"122 deg 32' 48.48"" W",,"37 deg 54' 24.84"" N, 122 deg 32' 48.48"" W",,,,
/Users/eddiedickey/Flickr/2016/video_26841446533.mov,,,,0.889 m,Above Sea Level,"19 deg 47' 28.32"" N, 156 deg 1' 43.32"" W, 0.889 m Above Sea Level",,,,,,,,,"19 deg 47' 28.32"" N",,"156 deg 1' 43.32"" W",,"19 deg 47' 28.32"" N, 156 deg 1' 43.32"" W",,,,
/Users/eddiedickey/Flickr/2016/video_34489035001.mov,,,,5.718 m,Above Sea Level,"38 deg 5' 18.96"" N, 122 deg 33' 12.96"" W, 5.718 m Above Sea Level",,,,,,,,,"38 deg 5' 18.96"" N",,"122 deg 33' 12.96"" W",,"38 deg 5' 18.96"" N, 122 deg 33' 12.96"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27523047036.mov,,,,5.013 m,Above Sea Level,"19 deg 33' 57.60"" N, 155 deg 58' 2.64"" W, 5.013 m Above Sea Level",,,,,,,,,"19 deg 33' 57.60"" N",,"155 deg 58' 2.64"" W",,"19 deg 33' 57.60"" N, 155 deg 58' 2.64"" W",,,,
/Users/eddiedickey/Flickr/2016/video_32848170602.mov,,,,44.014 m,Above Sea Level,"38 deg 1' 5.52"" N, 122 deg 34' 21.36"" W, 44.014 m Above Sea Level",,,,,,,,,"38 deg 1' 5.52"" N",,"122 deg 34' 21.36"" W",,"38 deg 1' 5.52"" N, 122 deg 34' 21.36"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27436421406.mov,,,,26.545 m,Above Sea Level,"19 deg 33' 54.72"" N, 155 deg 58' 0.12"" W, 26.545 m Above Sea Level",,,,,,,,,"19 deg 33' 54.72"" N",,"155 deg 58' 0.12"" W",,"19 deg 33' 54.72"" N, 155 deg 58' 0.12"" W",,,,
/Users/eddiedickey/Flickr/2016/video_28985474374.mov,,,,8.565 m,Above Sea Level,"37 deg 47' 34.80"" N, 122 deg 23' 49.56"" W, 8.565 m Above Sea Level",,,,,,,,,"37 deg 47' 34.80"" N",,"122 deg 23' 49.56"" W",,"37 deg 47' 34.80"" N, 122 deg 23' 49.56"" W",,,,
/Users/eddiedickey/Flickr/2016/video_26863301583.mov,,,,26.481 m,Above Sea Level,"19 deg 33' 55.08"" N, 155 deg 58' 0.12"" W, 26.481 m Above Sea Level",,,,,,,,,"19 deg 33' 55.08"" N",,"155 deg 58' 0.12"" W",,"19 deg 33' 55.08"" N, 155 deg 58' 0.12"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27522717946.mov,,,,6.372 m,Above Sea Level,"19 deg 33' 57.60"" N, 155 deg 58' 2.28"" W, 6.372 m Above Sea Level",,,,,,,,,"19 deg 33' 57.60"" N",,"155 deg 58' 2.28"" W",,"19 deg 33' 57.60"" N, 155 deg 58' 2.28"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27741719545.mov,,,,1255.622 m,Above Sea Level,"19 deg 25' 45.12"" N, 155 deg 15' 31.32"" W, 1255.622 m Above Sea Level",,,,,,,,,"19 deg 25' 45.12"" N",,"155 deg 15' 31.32"" W",,"19 deg 25' 45.12"" N, 155 deg 15' 31.32"" W",,,,
/Users/eddiedickey/Flickr/2016/video_29319757870.mov,,,,12.489 m,Above Sea Level,"37 deg 47' 3.12"" N, 122 deg 24' 28.08"" W, 12.489 m Above Sea Level",,,,,,,,,"37 deg 47' 3.12"" N",,"122 deg 24' 28.08"" W",,"37 deg 47' 3.12"" N, 122 deg 24' 28.08"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27464501241.mov,,,,5.198 m,Above Sea Level,"19 deg 33' 57.60"" N, 155 deg 58' 2.28"" W, 5.198 m Above Sea Level",,,,,,,,,"19 deg 33' 57.60"" N",,"155 deg 58' 2.28"" W",,"19 deg 33' 57.60"" N, 155 deg 58' 2.28"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27641401392.mov,,,,4.384 m,Above Sea Level,"19 deg 38' 23.28"" N, 155 deg 59' 40.56"" W, 4.384 m Above Sea Level",,,,,,,,,"19 deg 38' 23.28"" N",,"155 deg 59' 40.56"" W",,"19 deg 38' 23.28"" N, 155 deg 59' 40.56"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27467487405.mov,,,,27.046 m,Above Sea Level,"19 deg 33' 54.72"" N, 155 deg 58' 0.12"" W, 27.046 m Above Sea Level",,,,,,,,,"19 deg 33' 54.72"" N",,"155 deg 58' 0.12"" W",,"19 deg 33' 54.72"" N, 155 deg 58' 0.12"" W",,,,
/Users/eddiedickey/Flickr/2016/video_27368475622.mov,,,,402.865 m,Above Sea Level,"19 deg 33' 13.32"" N, 155 deg 56' 4.56"" W, 402.865 m Above Sea Level",,,,,,,,,"19 deg 33' 13.32"" N",,"155 deg 56' 4.56"" W",,"19 deg 33' 13.32"" N, 155 deg 56' 4.56"" W",,,,
/Users/eddiedickey/Flickr/2016/video_34489634701.mov,,,,25.044 m,Above Sea Level,"37 deg 47' 6.00"" N, 122 deg 24' 41.40"" W, 25.044 m Above Sea Level",,,,,,,,,"37 deg 47' 6.00"" N",,"122 deg 24' 41.40"" W",,"37 deg 47' 6.00"" N, 122 deg 24' 41.40"" W",,,,
/Users/eddiedickey/Flickr/2003/15152324196_d93c653a7c_o.jpg,2003:10:18 14:02:28,,2003:10:18 14:02:28,,,,,,,,,,,,,,,,,,,,
